Career Cluster	Career Pathway	Code	Occupation
Education & Training	Teaching/Training	25-1052.00	Chemistry Teachers, Postsecondary  Bright Outlook
Education & Training	Teaching/Training	27-2022.00	Coaches and Scouts
Education & Training	Teaching/Training	25-1122.00	Communications Teachers, Postsecondary
Education & Training	Teaching/Training	25-1021.00	Computer Science Teachers, Postsecondary
Education & Training	Teaching/Training	25-1111.00	Criminal Justice and Law Enforcement Teachers, Postsecondary  Bright Outlook
Education & Training	Teaching/Training	25-1063.00	Economics Teachers, Postsecondary
Education & Training	Teaching/Training	25-1081.00	Education Teachers, Postsecondary
Education & Training	Teaching/Training	25-9099.00	Education, Training, and Library Workers, All Other
Education & Training	Teaching/Training	25-2021.00	Elementary School Teachers, Except Special Education Bright Outlook
Education & Training	Teaching/Training	25-1032.00	Engineering Teachers, Postsecondary
Education & Training	Teaching/Training	25-1123.00	English Language and Literature Teachers, Postsecondary
Education & Training	Teaching/Training	25-1053.00	Environmental Science Teachers, Postsecondary
Education & Training	Teaching/Training	25-9021.00	Farm and Home Management Advisors  Green Occupation
Education & Training	Teaching/Training	25-1124.00	Foreign Language and Literature Teachers, Postsecondary
Education & Training	Teaching/Training	25-1043.00	Forestry and Conservation Science Teachers, Postsecondary
Education & Training	Teaching/Training	25-1064.00	Geography Teachers, Postsecondary
Education & Training	Teaching/Training	25-1191.00	Graduate Teaching Assistants
Education & Training	Teaching/Training	25-1071.00	Health Specialties Teachers, Postsecondary  Bright Outlook
Education & Training	Teaching/Training	25-1125.00	History Teachers, Postsecondary
Education & Training	Teaching/Training	25-1192.00	Home Economics Teachers, Postsecondary
Education & Training	Teaching/Training	25-2012.00	Kindergarten Teachers, Except Special Education
Education & Training	Teaching/Training	25-1112.00	Law Teachers, Postsecondary  Bright Outlook
Education & Training	Teaching/Training	25-1082.00	Library Science Teachers, Postsecondary
Education & Training	Teaching/Training	25-1022.00	Mathematical Science Teachers, Postsecondary  Bright Outlook
Education & Training	Teaching/Training	25-2022.00	Middle School Teachers, Except Special and Career/Technical Education  Bright Outlook
Education & Training	Teaching/Training	25-1072.00	Nursing Instructors and Teachers, Postsecondary  Bright Outlook
Education & Training	Teaching/Training	25-1126.00	Philosophy and Religion Teachers, Postsecondary
Education & Training	Teaching/Training	25-1054.00	Physics Teachers, Postsecondary  Bright Outlook
Education & Training	Teaching/Training	25-1065.00	Political Science Teachers, Postsecondary
Education & Training	Teaching/Training	25-1199.00	Postsecondary Teachers, All Other
Education & Training	Teaching/Training	25-2011.00	Preschool Teachers, Except Special Education  Bright Outlook
Education & Training	Teaching/Training	25-1066.00	Psychology Teachers, Postsecondary  Bright Outlook
Education & Training	Teaching/Training	25-1193.00	Recreation and Fitness Studies Teachers, Postsecondary
Education & Training	Teaching/Training	25-2031.00	Secondary School Teachers, Except Special and Career/Technical Education  Bright Outlook
Education & Training	Teaching/Training	25-3021.00	Self-Enrichment Education Teachers  Bright Outlook
Education & Training	Teaching/Training	25-1069.00	Social Sciences Teachers, Postsecondary, All Other  Bright Outlook
Education & Training	Teaching/Training	25-1113.00	Social Work Teachers, Postsecondary  Bright Outlook
Education & Training	Teaching/Training	25-1067.00	Sociology Teachers, Postsecondary  Bright Outlook
Education & Training	Teaching/Training	25-2059.00	Special Education Teachers, All Other
Education & Training	Teaching/Training	25-2052.00	Special Education Teachers, Kindergarten and Elementary School
Education & Training	Teaching/Training	25-2053.00	Special Education Teachers, Middle School
Education & Training	Teaching/Training	25-2051.00	Special Education Teachers, Preschool
Education & Training	Teaching/Training	25-2054.00	Special Education Teachers, Secondary School
Education & Training	Teaching/Training	25-9041.00	Teacher Assistants  Bright Outlook
Education & Training	Teaching/Training	25-3099.00	Teachers and Instructors, All Other  Bright Outlook
Education & Training	Teaching/Training	25-3099.02	Tutors  Bright Outlook
Education & Training	Teaching/Training	25-1194.00	Vocational Education Teachers, Postsecondary
Finance	Accounting	13-2011.01	Accountants  Bright Outlook
Finance	Accounting	13-2011.00	Accountants and Auditors  Bright Outlook
Finance	Accounting	13-2011.02	Auditors  Bright Outlook
Finance	Banking Services	43-3011.00	Bill and Account Collectors
Finance	Banking Services	13-2041.00	Credit Analysts
Finance	Banking Services	43-4041.01	Credit Authorizers
Finance	Banking Services	43-4041.00	Credit Authorizers, Checkers, and Clerks
Finance	Banking Services	43-4041.02	Credit Checkers
Finance	Banking Services	43-3099.00	Financial Clerks, All Other
Finance	Banking Services	43-4131.00	Loan Interviewers and Clerks
Finance	Banking Services	13-2072.00	Loan Officers
Finance	Banking Services	43-3071.00	Tellers  Bright Outlook
Finance	Business Finance	13-2031.00	Budget Analysts
Finance	Business Finance	13-2051.00	Financial Analysts  Green Occupation
Finance	Business Finance	11-3031.00	Financial Managers  Bright Outlook
Finance	Business Finance	11-3031.02	Financial Managers, Branch or Department  Bright Outlook
Finance	Business Finance	13-2082.00	Tax Preparers
Finance	Business Finance	11-3031.01	Treasurers and Controllers  Bright Outlook
Finance	Insurance	15-2011.00	Actuaries  Bright Outlook
Finance	Insurance	13-1031.00	Claims Adjusters, Examiners, and Investigators
Finance	Insurance	13-1031.01	Claims Examiners, Property and Casualty Insurance
Finance	Insurance	13-1031.02	Insurance Adjusters, Examiners, and Investigators
Finance	Insurance	13-1032.00	Insurance Appraisers, Auto Damage
Finance	Insurance	43-9041.00	Insurance Claims and Policy Processing Clerks
Finance	Insurance	43-9041.01	Insurance Claims Clerks
Finance	Insurance	43-9041.02	Insurance Policy Processing Clerks
Finance	Insurance	41-3021.00	Insurance Sales Agents  Bright Outlook
Finance	Insurance	13-2053.00	Insurance Underwriters
Finance	Securities & Investments	43-4011.00	Brokerage Clerks
Finance	Securities & Investments	13-2099.01	Financial Quantitative Analysts  Bright Outlook  Green Occupation
Finance	Securities & Investments	13-2099.00	Financial Specialists, All Other
Finance	Securities & Investments	13-2099.04	Fraud Examiners, Investigators and Analysts  Bright Outlook
Finance	Securities & Investments	13-2099.03	Investment Underwriters  Bright Outlook  Green Occupation
Finance	Securities & Investments	13-2052.00	Personal Financial Advisors  Bright Outlook  Green Occupation
Finance	Securities & Investments	13-2099.02	Risk Management Specialists  Bright Outlook  Green Occupation
Finance	Securities & Investments	41-3031.02	Sales Agents, Financial Services
Finance	Securities & Investments	41-3031.01	Sales Agents, Securities and Commodities
Finance	Securities & Investments	41-3031.03	Securities and Commodities Traders  Bright Outlook  Green Occupation
Finance	Securities & Investments	41-3031.00	Securities, Commodities, and Financial Services Sales Agents
Government & Public Administration	Governance	53-6051.01	Aviation Inspectors
Government & Public Administration	Governance	13-1041.00	Compliance Officers
Government & Public Administration	Governance	13-1041.06	Coroners
Government & Public Administration	Governance	13-1041.01	Environmental Compliance Inspectors
Government & Public Administration	Governance	13-1041.03	Equal Opportunity Representatives and Officers
Government & Public Administration	Governance	13-2061.00	Financial Examiners
Government & Public Administration	Governance	53-6051.08	Freight and Cargo Inspectors
Government & Public Administration	Governance	13-1041.04	Government Property Inspectors and Investigators
Government & Public Administration	Governance	11-1031.00	Legislators
Government & Public Administration	Governance	13-1041.02	Licensing Examiners and Inspectors
Government & Public Administration	Governance	13-1041.07	Regulatory Affairs Specialists  Bright Outlook  Green Occupation
Government & Public Administration	Governance	53-6051.00	Transportation Inspectors
Government & Public Administration	Governance	53-6051.07	Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation  Green Occupation
Government & Public Administration	National Security	55-3011.00	Air Crew Members
Government & Public Administration	National Security	55-1011.00	Air Crew Officers
Government & Public Administration	National Security	55-1012.00	Aircraft Launch and Recovery Officers
Government & Public Administration	National Security	55-3012.00	Aircraft Launch and Recovery Specialists
Government & Public Administration	National Security	55-3013.00	Armored Assault Vehicle Crew Members
Government & Public Administration	National Security	55-1013.00	Armored Assault Vehicle Officers
Government & Public Administration	National Security	55-3014.00	Artillery and Missile Crew Members
Government & Public Administration	National Security	55-1014.00	Artillery and Missile Officers
Government & Public Administration	National Security	55-1015.00	Command and Control Center Officers
Government & Public Administration	National Security	55-3015.00	Command and Control Center Specialists
Government & Public Administration	National Security	55-2011.00	First-Line Supervisors of Air Crew Members
Government & Public Administration	National Security	55-2013.00	First-Line Supervisors of All Other Tactical Operations Specialists
Government & Public Administration	National Security	55-2012.00	First-Line Supervisors of Weapons Specialists/Crew Members
Government & Public Administration	National Security	55-3016.00	Infantry
Government & Public Administration	National Security	55-1016.00	Infantry Officers
Government & Public Administration	National Security	55-3019.00	Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other
Government & Public Administration	National Security	55-1019.00	Military Officer Special and Tactical Operations Leaders, All Other
Government & Public Administration	National Security	55-3017.00	Radar and Sonar Technicians
Government & Public Administration	National Security	55-3018.00	Special Forces
Government & Public Administration	National Security	55-1017.00	Special Forces Officers
Government & Public Administration	National Security	33-9093.00	Transportation Security Screeners
Government & Public Administration	Planning	43-9111.01	Bioinformatics Technicians  Bright Outlook
Government & Public Administration	Planning	43-9111.00	Statistical Assistants
Government & Public Administration	Planning	19-3051.00	Urban and Regional Planners  Green Occupation
Government & Public Administration	Public Management and Administration	43-4031.01	Court Clerks
Government & Public Administration	Public Management and Administration	43-4031.00	Court, Municipal, and License Clerks
Government & Public Administration	Public Management and Administration	43-4061.00	Eligibility Interviewers, Government Programs
Government & Public Administration	Public Management and Administration	11-9161.00	Emergency Management Directors
Government & Public Administration	Public Management and Administration	43-4031.03	License Clerks
Government & Public Administration	Public Management and Administration	43-4031.02	Municipal Clerks
Government & Public Administration	Public Management and Administration	11-9131.00	Postmasters and Mail Superintendents
Government & Public Administration	Regulation	45-2011.00	Agricultural Inspectors  Green Occupation
Government & Public Administration	Regulation	47-4011.00	Construction and Building Inspectors  Green Occupation
Government & Public Administration	Regulation	29-9011.00	Occupational Health and Safety Specialists  Green Occupation
Government & Public Administration	Regulation	29-9012.00	Occupational Health and Safety Technicians  Green Occupation
Government & Public Administration	Revenue and Taxation	13-2021.00	Appraisers and Assessors of Real Estate
Government & Public Administration	Revenue and Taxation	13-2021.02	Appraisers, Real Estate
Government & Public Administration	Revenue and Taxation	13-2021.01	Assessors
Government & Public Administration	Revenue and Taxation	13-2081.00	Tax Examiners and Collectors, and Revenue Agents
Health Science	Biotechnology Research and Development	17-2031.00	Biomedical Engineers  Bright Outlook
Health Science	Biotechnology Research and Development	19-1042.00	Medical Scientists, Except Epidemiologists
Health Science	Diagnostic Services	29-2031.00	Cardiovascular Technologists and Technicians  Bright Outlook
Health Science	Diagnostic Services	29-2011.01	Cytogenetic Technologists  Bright Outlook
Health Science	Diagnostic Services	29-2011.02	Cytotechnologists  Bright Outlook
Health Science	Diagnostic Services	29-2032.00	Diagnostic Medical Sonographers  Bright Outlook
Health Science	Diagnostic Services	19-1041.00	Epidemiologists
Health Science	Diagnostic Services	29-2099.00	Health Technologists and Technicians, All Other  Bright Outlook
Health Science	Diagnostic Services	29-2011.03	Histotechnologists and Histologic Technicians  Bright Outlook
Health Science	Diagnostic Services	29-2035.00	Magnetic Resonance Imaging Technologists
Health Science	Diagnostic Services	29-2012.00	Medical and Clinical Laboratory Technicians  Bright Outlook
Health Science	Diagnostic Services	29-2011.00	Medical and Clinical Laboratory Technologists  Bright Outlook
Health Science	Diagnostic Services	29-2099.01	Neurodiagnostic Technologists  Bright Outlook
Health Science	Diagnostic Services	29-2033.00	Nuclear Medicine Technologists
Health Science	Diagnostic Services	29-2099.05	Ophthalmic Medical Technologists  Bright Outlook
Health Science	Diagnostic Services	29-2099.06	Radiologic Technicians  Bright Outlook
Health Science	Diagnostic Services	29-2034.00	Radiologic Technologists
Health Science	Diagnostic Services	29-2099.07	Surgical Assistants  Bright Outlook
Health Science	Diagnostic Services	29-2056.00	Veterinary Technologists and Technicians  Bright Outlook
Health Science	Health Informatics	29-2071.00	Medical Records and Health Information Technicians  Bright Outlook
Health Science	Health Informatics	43-6013.00	Medical Secretaries  Bright Outlook
Health Science	Health Informatics	31-9094.00	Medical Transcriptionists
Health Science	Support Services	31-9099.02	Endoscopy Technicians  Bright Outlook
Health Science	Support Services	31-9099.00	Healthcare Support Workers, All Other
Health Science	Support Services	11-9111.00	Medical and Health Services Managers  Bright Outlook
Health Science	Support Services	31-9093.00	Medical Equipment Preparers  Bright Outlook
Health Science	Support Services	31-1015.00	Orderlies
Health Science	Support Services	31-9095.00	Pharmacy Aides
Health Science	Support Services	31-9097.00	Phlebotomists  Bright Outlook
Health Science	Support Services	31-9099.01	Speech-Language Pathology Assistants  Bright Outlook
Health Science	Support Services	31-9096.00	Veterinary Assistants and Laboratory Animal Caretakers
Health Science	Therapeutic Services	29-1199.01	Acupuncturists  Bright Outlook
Health Science	Therapeutic Services	29-1141.01	Acute Care Nurses  Bright Outlook
Health Science	Therapeutic Services	29-1141.02	Advanced Practice Psychiatric Nurses  Bright Outlook
Health Science	Therapeutic Services	29-1069.01	Allergists and Immunologists  Bright Outlook
Health Science	Therapeutic Services	29-1071.01	Anesthesiologist Assistants  Bright Outlook
Health Science	Therapeutic Services	29-1061.00	Anesthesiologists  Bright Outlook
Health Science	Therapeutic Services	29-1125.01	Art Therapists  Bright Outlook
Health Science	Therapeutic Services	29-9091.00	Athletic Trainers  Bright Outlook
Health Science	Therapeutic Services	29-1181.00	Audiologists  Bright Outlook
Health Science	Therapeutic Services	29-1011.00	Chiropractors  Bright Outlook
Health Science	Therapeutic Services	29-1141.04	Clinical Nurse Specialists  Bright Outlook
Health Science	Therapeutic Services	29-1141.03	Critical Care Nurses  Bright Outlook
Health Science	Therapeutic Services	31-9091.00	Dental Assistants  Bright Outlook
Health Science	Therapeutic Services	29-2021.00	Dental Hygienists  Bright Outlook
Health Science	Therapeutic Services	29-1029.00	Dentists, All Other Specialists
Health Science	Therapeutic Services	29-1021.00	Dentists, General  Bright Outlook
Health Science	Therapeutic Services	29-1069.02	Dermatologists  Bright Outlook
Health Science	Therapeutic Services	29-2051.00	Dietetic Technicians
Health Science	Therapeutic Services	29-1031.00	Dietitians and Nutritionists  Bright Outlook
Health Science	Therapeutic Services	29-1128.00	Exercise Physiologists
Health Science	Therapeutic Services	29-1062.00	Family and General Practitioners
Health Science	Therapeutic Services	29-9092.00	Genetic Counselors  Bright Outlook
Health Science	Therapeutic Services	29-1199.00	Health Diagnosing and Treating Practitioners, All Other
Health Science	Therapeutic Services	29-9099.00	Healthcare Practitioners and Technical Workers, All Other  Bright Outlook
Health Science	Therapeutic Services	29-2092.00	Hearing Aid Specialists  Bright Outlook
Health Science	Therapeutic Services	31-1011.00	Home Health Aides  Bright Outlook
Health Science	Therapeutic Services	29-1069.03	Hospitalists  Bright Outlook
Health Science	Therapeutic Services	29-1063.00	Internists, General
Health Science	Therapeutic Services	29-2061.00	Licensed Practical and Licensed Vocational Nurses  Bright Outlook
Health Science	Therapeutic Services	29-1122.01	Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists  Bright Outlook
Health Science	Therapeutic Services	31-9092.00	Medical Assistants  Bright Outlook
Health Science	Therapeutic Services	29-9099.01	Midwives  Bright Outlook
Health Science	Therapeutic Services	29-1125.02	Music Therapists  Bright Outlook
Health Science	Therapeutic Services	29-1199.04	Naturopathic Physicians  Bright Outlook
Health Science	Therapeutic Services	29-1069.04	Neurologists  Bright Outlook
Health Science	Therapeutic Services	29-1069.05	Nuclear Medicine Physicians  Bright Outlook
Health Science	Therapeutic Services	29-1151.00	Nurse Anesthetists  Bright Outlook
Health Science	Therapeutic Services	29-1161.00	Nurse Midwives  Bright Outlook
Health Science	Therapeutic Services	29-1171.00	Nurse Practitioners  Bright Outlook
Health Science	Therapeutic Services	31-1014.00	Nursing Assistants  Bright Outlook
Health Science	Therapeutic Services	29-1064.00	Obstetricians and Gynecologists  Bright Outlook
Health Science	Therapeutic Services	29-1122.00	Occupational Therapists  Bright Outlook
Health Science	Therapeutic Services	31-2012.00	Occupational Therapy Aides  Bright Outlook
Health Science	Therapeutic Services	31-2011.00	Occupational Therapy Assistants  Bright Outlook
Health Science	Therapeutic Services	29-2057.00	Ophthalmic Medical Technicians  Bright Outlook
Health Science	Therapeutic Services	29-1069.06	Ophthalmologists  Bright Outlook
Health Science	Therapeutic Services	29-2081.00	Opticians, Dispensing  Bright Outlook
Health Science	Therapeutic Services	29-1041.00	Optometrists  Bright Outlook
Health Science	Therapeutic Services	29-1022.00	Oral and Maxillofacial Surgeons  Bright Outlook
Health Science	Therapeutic Services	29-1023.00	Orthodontists  Bright Outlook
Health Science	Therapeutic Services	29-1199.05	Orthoptists  Bright Outlook
Health Science	Therapeutic Services	29-2091.00	Orthotists and Prosthetists  Bright Outlook
Health Science	Therapeutic Services	29-1069.07	Pathologists  Bright Outlook
Health Science	Therapeutic Services	29-1065.00	Pediatricians, General
Health Science	Therapeutic Services	29-1051.00	Pharmacists
Health Science	Therapeutic Services	29-2052.00	Pharmacy Technicians
Health Science	Therapeutic Services	29-1069.08	Physical Medicine and Rehabilitation Physicians  Bright Outlook
Health Science	Therapeutic Services	31-2022.00	Physical Therapist Aides  Bright Outlook
Health Science	Therapeutic Services	31-2021.00	Physical Therapist Assistants  Bright Outlook
Health Science	Therapeutic Services	29-1123.00	Physical Therapists  Bright Outlook
Health Science	Therapeutic Services	29-1071.00	Physician Assistants  Bright Outlook
Health Science	Therapeutic Services	29-1069.00	Physicians and Surgeons, All Other  Bright Outlook
Health Science	Therapeutic Services	29-1081.00	Podiatrists  Bright Outlook
Health Science	Therapeutic Services	29-1069.09	Preventive Medicine Physicians  Bright Outlook
Health Science	Therapeutic Services	29-1024.00	Prosthodontists  Bright Outlook
Health Science	Therapeutic Services	31-1013.00	Psychiatric Aides
Health Science	Therapeutic Services	29-2053.00	Psychiatric Technicians
Health Science	Therapeutic Services	29-1066.00	Psychiatrists  Bright Outlook
Health Science	Therapeutic Services	29-1124.00	Radiation Therapists  Bright Outlook
Health Science	Therapeutic Services	29-1069.10	Radiologists  Bright Outlook
Health Science	Therapeutic Services	29-1125.00	Recreational Therapists
Health Science	Therapeutic Services	29-1141.00	Registered Nurses  Bright Outlook
Health Science	Therapeutic Services	29-1126.00	Respiratory Therapists
Health Science	Therapeutic Services	29-2054.00	Respiratory Therapy Technicians
Health Science	Therapeutic Services	29-1127.00	Speech-Language Pathologists  Bright Outlook
Health Science	Therapeutic Services	29-1069.11	Sports Medicine Physicians  Bright Outlook
Health Science	Therapeutic Services	29-1067.00	Surgeons  Bright Outlook
Health Science	Therapeutic Services	29-2055.00	Surgical Technologists  Bright Outlook
Health Science	Therapeutic Services	29-1129.00	Therapists, All Other  Bright Outlook
Health Science	Therapeutic Services	29-1069.12	Urologists  Bright Outlook
Health Science	Therapeutic Services	29-1131.00	Veterinarians
Hospitality & Tourism	Lodging	39-6011.00	Baggage Porters and Bellhops
Hospitality & Tourism	Lodging	37-2019.00	Building Cleaning Workers, All Other
Hospitality & Tourism	Lodging	39-6012.00	Concierges
Hospitality & Tourism	Lodging	37-1011.00	First-Line Supervisors of Housekeeping and Janitorial Workers
Hospitality & Tourism	Lodging	43-4081.00	Hotel, Motel, and Resort Desk Clerks  Bright Outlook
Hospitality & Tourism	Lodging	37-2011.00	Janitors and Cleaners, Except Maids and Housekeeping Cleaners  Bright Outlook
Hospitality & Tourism	Lodging	11-9081.00	Lodging Managers
Hospitality & Tourism	Lodging	37-2012.00	Maids and Housekeeping Cleaners  Bright Outlook
Hospitality & Tourism	Recreation, Amusements & Attractions	39-3091.00	Amusement and Recreation Attendants  Bright Outlook
Hospitality & Tourism	Recreation, Amusements & Attractions	39-2011.00	Animal Trainers
Hospitality & Tourism	Recreation, Amusements & Attractions	27-2021.00	Athletes and Sports Competitors
Hospitality & Tourism	Recreation, Amusements & Attractions	39-3099.00	Entertainment Attendants and Related Workers, All Other  Bright Outlook
Hospitality & Tourism	Recreation, Amusements & Attractions	39-3012.00	Gaming and Sports Book Writers and Runners
Hospitality & Tourism	Recreation, Amusements & Attractions	43-3041.00	Gaming Cage Workers
Hospitality & Tourism	Recreation, Amusements & Attractions	41-2012.00	Gaming Change Persons and Booth Cashiers
Hospitality & Tourism	Recreation, Amusements & Attractions	39-3011.00	Gaming Dealers
Hospitality & Tourism	Recreation, Amusements & Attractions	11-9071.00	Gaming Managers
Hospitality & Tourism	Recreation, Amusements & Attractions	39-3019.00	Gaming Service Workers, All Other
Hospitality & Tourism	Recreation, Amusements & Attractions	39-1011.00	Gaming Supervisors
Hospitality & Tourism	Recreation, Amusements & Attractions	39-3021.00	Motion Picture Projectionists
Hospitality & Tourism	Recreation, Amusements & Attractions	39-9032.00	Recreation Workers  Bright Outlook
Hospitality & Tourism	Recreation, Amusements & Attractions	39-1012.00	Slot Supervisors
Hospitality & Tourism	Recreation, Amusements & Attractions	27-2023.00	Umpires, Referees, and Other Sports Officials
Hospitality & Tourism	Recreation, Amusements & Attractions	39-3031.00	Ushers, Lobby Attendants, and Ticket Takers
Hospitality & Tourism	Restaurants and Food/Beverage Services	51-3011.00	Bakers
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-3022.01	Baristas  Bright Outlook
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-3011.00	Bartenders  Bright Outlook
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-1011.00	Chefs and Head Cooks
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-3021.00	Combined Food Preparation and Serving Workers, Including Fast Food  Bright Outlook
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-2019.00	Cooks, All Other
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-2011.00	Cooks, Fast Food  Bright Outlook
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-2012.00	Cooks, Institution and Cafeteria  Bright Outlook
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-2013.00	Cooks, Private Household
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-2014.00	Cooks, Restaurant  Bright Outlook
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-2015.00	Cooks, Short Order
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-3022.00	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop  Bright Outlook
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-9011.00	Dining Room and Cafeteria Attendants and Bartender Helpers  Bright Outlook
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-9021.00	Dishwashers  Bright Outlook
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-1012.00	First-Line Supervisors of Food Preparation and Serving Workers  Bright Outlook
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-9099.00	Food Preparation and Serving Related Workers, All Other
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-2021.00	Food Preparation Workers  Bright Outlook
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-3041.00	Food Servers, Nonrestaurant
Hospitality & Tourism	Restaurants and Food/Beverage Services	11-9051.00	Food Service Managers
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-9031.00	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop  Bright Outlook
Hospitality & Tourism	Restaurants and Food/Beverage Services	35-3031.00	Waiters and Waitresses  Bright Outlook
Hospitality & Tourism	Travel & Tourism	43-4181.00	Reservation and Transportation Ticket Agents and Travel Clerks
Hospitality & Tourism	Travel & Tourism	39-7011.00	Tour Guides and Escorts
Hospitality & Tourism	Travel & Tourism	41-3041.00	Travel Agents
Hospitality & Tourism	Travel & Tourism	39-7012.00	Travel Guides
Human Services	Consumer Services	13-2071.00	Credit Counselors  Bright Outlook
Human Services	Consumer Services	13-2071.01	Loan Counselors  Bright Outlook
Human Services	Counseling & Mental Health Services	19-3031.02	Clinical Psychologists  Bright Outlook
Human Services	Counseling & Mental Health Services	19-3031.00	Clinical, Counseling, and School Psychologists  Bright Outlook
Human Services	Counseling & Mental Health Services	19-3031.03	Counseling Psychologists  Bright Outlook
Human Services	Counseling & Mental Health Services	21-1019.00	Counselors, All Other
Human Services	Counseling & Mental Health Services	19-3032.00	Industrial-Organizational Psychologists  Bright Outlook
Human Services	Counseling & Mental Health Services	21-1013.00	Marriage and Family Therapists  Bright Outlook
Human Services	Counseling & Mental Health Services	21-1023.00	Mental Health and Substance Abuse Social Workers  Bright Outlook
Human Services	Counseling & Mental Health Services	21-1014.00	Mental Health Counselors  Bright Outlook
Human Services	Counseling & Mental Health Services	19-3039.01	Neuropsychologists and Clinical Neuropsychologists  Bright Outlook
Human Services	Counseling & Mental Health Services	19-3039.00	Psychologists, All Other
Human Services	Counseling & Mental Health Services	21-1015.00	Rehabilitation Counselors
Human Services	Counseling & Mental Health Services	19-3031.01	School Psychologists  Bright Outlook
Human Services	Counseling & Mental Health Services	21-1011.00	Substance Abuse and Behavioral Disorder Counselors Bright Outlook
Human Services	Early Childhood Development & Services	39-9011.00	Childcare Workers  Bright Outlook
Human Services	Early Childhood Development & Services	39-9011.01	Nannies  Bright Outlook
Human Services	Family & Community Services	21-1021.00	Child, Family, and School Social Workers
Human Services	Family & Community Services	21-2011.00	Clergy
Human Services	Family & Community Services	21-1099.00	Community and Social Service Specialists, All Other
Human Services	Family & Community Services	21-1094.00	Community Health Workers  Bright Outlook
Human Services	Family & Community Services	21-2021.00	Directors, Religious Activities and Education
Human Services	Family & Community Services	21-1091.00	Health Educators
Human Services	Family & Community Services	21-1022.00	Healthcare Social Workers  Bright Outlook
Human Services	Family & Community Services	21-2099.00	Religious Workers, All Other
Human Services	Family & Community Services	11-9151.00	Social and Community Service Managers
Human Services	Family & Community Services	21-1093.00	Social and Human Service Assistants  Bright Outlook
Human Services	Family & Community Services	21-1029.00	Social Workers, All Other
Human Services	Personal Care Services	39-5011.00	Barbers
Human Services	Personal Care Services	39-4011.00	Embalmers
Human Services	Personal Care Services	39-1021.00	First-Line Supervisors of Personal Service Workers
Human Services	Personal Care Services	39-9031.00	Fitness Trainers and Aerobics Instructors
Human Services	Personal Care Services	39-4021.00	Funeral Attendants
Human Services	Personal Care Services	11-9061.00	Funeral Service Managers
Human Services	Personal Care Services	39-5012.00	Hairdressers, Hairstylists, and Cosmetologists  Bright Outlook
Human Services	Personal Care Services	51-6011.00	Laundry and Dry-Cleaning Workers
Human Services	Personal Care Services	39-3093.00	Locker Room, Coatroom, and Dressing Room Attendants
Human Services	Personal Care Services	39-5092.00	Manicurists and Pedicurists
Human Services	Personal Care Services	31-9011.00	Massage Therapists  Bright Outlook
Human Services	Personal Care Services	39-4031.00	Morticians, Undertakers, and Funeral Directors
Human Services	Personal Care Services	39-9021.00	Personal Care Aides  Bright Outlook
Human Services	Personal Care Services	39-9099.00	Personal Care and Service Workers, All Other
Human Services	Personal Care Services	51-6021.00	Pressers, Textile, Garment, and Related Materials
Human Services	Personal Care Services	39-9041.00	Residential Advisors  Bright Outlook
Human Services	Personal Care Services	39-5093.00	Shampooers
Human Services	Personal Care Services	39-5094.00	Skincare Specialists
Human Services	Personal Care Services	39-1021.01	Spa Managers  Bright Outlook
Human Services	Personal Care Services	51-6052.00	Tailors, Dressmakers, and Custom Sewers
Information Technology	Information Support and Services	15-1199.08	Business Intelligence Analysts  Bright Outlook
Information Technology	Information Support and Services	15-1199.00	Computer Occupations, All Other
Information Technology	Information Support and Services	15-1199.02	Computer Systems Engineers/Architects  Bright Outlook
Information Technology	Information Support and Services	15-1151.00	Computer User Support Specialists  Bright Outlook
Information Technology	Information Support and Services	15-1199.07	Data Warehousing Specialists  Bright Outlook
Information Technology	Information Support and Services	15-1199.06	Database Architects  Bright Outlook
Information Technology	Information Support and Services	15-1199.12	Document Management Specialists  Bright Outlook
Information Technology	Information Support and Services	15-1199.05	Geographic Information Systems Technicians  Bright Outlook  Green Occupation
Information Technology	Information Support and Services	15-1199.04	Geospatial Information Scientists and Technologists  Bright Outlook Green Occupation
