Occupation_x	Occupation_y	summary	sampleTitles
Rehabilitation Counselors	Rehabilitation Counselors	Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement.	Case Manager, Human Services Care Specialist, Job Coach, Program Coordinator, Program Specialist, Rehabilitation Counselor, Rehabilitation Specialist, Vocational Case Manager, Vocational Placement Specialist, Vocational Rehabilitation Counselor (VCR)
Religious Workers, All Other	Religious Workers, All Other	All religious workers not listed separately.	none
Social and Human Service Assistants	Social and Human Service Assistants	Assist in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care.	Advocate, Caseworker, Community Coordinator, Family Support Worker, Home based Assistant, Human Services Program Specialist, Mental Health Technician, Outreach Specialist, Social Services Assistant, Social Work Associate
Social Workers, All Other	Social Workers, All Other	All social workers not listed separately.	none
Substance Abuse and Behavioral Disorder Counselors	Substance Abuse and Behavioral Disorder Counselors	Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs.	Addictions Counselor, Case Manager, Chemical Dependency Counselor (CD Counselor), Chemical Dependency Professional, Clinical Counselor, Correctional Substance Abuse Counselor, Counselor, Drug and Alcohol Treatment Specialist (DATS), Prevention Specialist, Substance Abuse Counselor (SA Counselor)
Actuaries	Actuaries	Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.	Actuarial Analyst, Actuarial Assistant, Actuarial Associate, Actuarial Consultant, Actuary, Consulting Actuary, Health Actuary, Pricing Actuary, Pricing Analyst, Product Development Actuary
Biostatisticians	Biostatisticians	Develop and apply biostatistical theory and methods to the study of life sciences.	Associate Director of Biostatistics, Biostatistician, Biostatistics Director, Consultant/Associate Professor of Biostatistics, Principal Biostatistician, Principal Statistical Scientist, Professor of Biostatistics, Research Associate Professor, Research Scientist, Senior Biostatistician/Group Leader
Clinical Data Managers	Clinical Data Managers	Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.	Clinical Data Associate, Clinical Data Management Associate Director (CDM Associate Director), Clinical Data Management Director (CDM Management Director), Clinical Data Management Manager (CDM Manager), Clinical Data Manager, Clinical Informatics Manager, Clinical Research Associate, Data Deliverables Manager, Data Management Manager, Data Management Specialist
Statisticians	Statisticians	Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.	Assistant Division Chief for Statistical Program Management, Clinical Statistics Manager, Human Resource Statistician, Private Statistical/Psychometric Consultant, Program Research Specialist, Senior Statistician, Statistical Analyst, Statistician, Statistician (Demographer), Trend Investigator
Business Intelligence Analysts	Business Intelligence Analysts	Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.	Business Intelligence Analyst; Business Intelligence Manager; Commercial Intelligence Manager; Competitive Intelligence Analyst; Consultant, Strategic Business and Technology Intelligence; Director of Enterprise Strategy; Director of Market Intelligence; Director, Global Intelligence; Intelligence Analyst; Manager, Market Intelligence
Computer Occupations, All Other	Computer Occupations, All Other	All computer occupations not listed separately.	none
Computer Systems Engineers/Architects	Computer Systems Engineers/Architects	Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.	Electronic Data Interchange System Developer (EDI System Developer), System Architect, Systems Engineer
Data Warehousing Specialists	Data Warehousing Specialists	Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.	tion for which data collection is currently underway.
Database Architects	Database Architects	Design strategies for enterprise database systems and set standards for operations, programming, and security. Design and construct large relational databases. Integrate new systems with existing warehouse structure and refine system performance and functionality.	Data Administrator, Data Architect, Data Officer, Database Architect, Database Consultant, Information Architect, Information Modeling Engineer Specialist, Information Technology Architect (IT Architect), System Engineer, Technical Operations Vice President
Document Management Specialists	Document Management Specialists	Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.	Business Process Analyst; Business Records Manager; Document Control Manager; Document Control, Electronic Content, and Records Manager; Document Management Consultant; Implementation Specialist; IT Project Manager; Manager, Enterprise Content Management; Record Systems Analyst; Records Manager
Geographic Information Systems Technicians	Geographic Information Systems Technicians	Assist scientists, technologists, or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.	Cartographer, Geographic Information Systems Analyst (GIS Analyst), Geographic Information Systems Coordinator (GIS Coordinator), Geographic Information Systems Specialist (GIS Specialist), Geographic Information Systems Technician (GIS Technician), Technical Support Specialist
Geospatial Information Scientists and Technologists	Geospatial Information Scientists and Technologists	Research or develop geospatial technologies. May produce databases, perform applications programming, or coordinate projects. May specialize in areas such as agriculture, mining, health care, retail trade, urban planning, or military intelligence.	Geographic Information System Analyst (GIS Analyst), Geographic Information Systems Administrator (GIS Administrator), Geographic Information Systems Analyst (GIS Analyst), Geographic Information Systems Coordinator (GIS Coordinator), Geographic Information Systems Director (GIS Director), Geographic Information Systems Manager (GIS Manager), Geographic Information Systems Specialist (GIS Specialist), Geospatial Intelligence Subject Matter Expert, Geospatial Program Management Officer, Resource Analyst
Information Technology Project Managers	Information Technology Project Managers	Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.	IT Manager, IT Project Manager, Manager of IT, Program Manager, Project Manager, Project Manager/Team Coach, Senior Lead Project Manager, Senior Project Leader/Team Lead, Technical Project Lead (Project Manager), Transition Program Manager
Search Marketing Strategists	Search Marketing Strategists	Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.	Channel Supervisor; Director of Audience Generation, Search, & Analytics; Director of Online Marketing Strategy & Performance; Director of Search Engine Optimization (Director of SEO); Director, Search Marketing Strategies; Ecommerce Marketing Manager; Internet Marketing Consultant; Internet Marketing Specialist; Senior Search Engine Optimization Associate (Senior SEO Associate); Senior Search Engine Optimization Specialist (Senior SEO Specialist)
Software Quality Assurance Engineers and Testers	Software Quality Assurance Engineers and Testers	Develop and execute software test plans in order to identify software problems and their causes.	Product Assurance Engineer, Quality Assurance Analyst (QA Analyst), Quality Assurance Director (QA Director), Quality Assurance Engineer (QA Engineer), Quality Assurance Practice Manager (QA Practice Manager), Quality Assurance Test Program Manager (QA Assurance Test Program Manager), Software Quality Assurance Engineer (SQA Engineer), Software Quality Engineer, Software Test Engineer, Test Engineer
Video Game Designers	Video Game Designers	Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.	Design Director, Designer/Writer, Game Designer, Game Designer/Creative Director, Lead Designer, Lead Game Designer, Lead Level Designer, Mid Level Game Designer, Senior Game Designer, World Designer
Web Administrators	Web Administrators	Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.	Corporate Webmaster, Information Technology Manager (IT Manager), Web Site Manager
Computer and Information Research Scientists	Computer and Information Research Scientists	Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.	Computer Scientist, Control System Computer Scientist, Scientific Programmer Analyst
Computer Network Architects	Computer Network Architects	Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning. May also design network and computer security measures. May research and recommend network and data communications hardware and software.	Network Analyst, Network Consultant, Network Engineer, Network Manager, Networking Systems and Distributed Systems Engineer, System Programmer, Systems Analyst, Systems Engineer, Telecommunications Analyst, Telecommunications Engineer
Telecommunications Engineering Specialists	Telecommunications Engineering Specialists	Design or configure voice, video, and data communications systems. Supervise installation and post-installation service and maintenance.	Consultant, Network Technician, Principal Consultant, Registered Communications Distribution Designer (RCDD), Senior Consultant, Senior Telecommunications Consultant, Telecom Network Manager (Telecommunication Network Manager), Telecommunication Engineer, Telecommunication Systems Designer, Telecommunications Consultant
Computer Network Support Specialists	Computer Network Support Specialists	Analyze, test, troubleshoot, and evaluate existing network systems, such as local area network (LAN), wide area network (WAN), and Internet systems or a segment of a network system. Perform network maintenance to ensure networks operate correctly with minimal interruption.	Computer Network Specialist, IT Consultant (Information Technology Consultant), Network Engineer, Network Specialist, Network Support Specialist, Network Technical Analyst, Network Technician, Personal Computer Network Analyst, Senior IT Assistant (Senior Information Technology Assistant), Systems Specialist
Computer Programmers	Computer Programmers	Create, modify, and test the code, forms, and script that allow computer applications to run. Work from specifications drawn up by software developers or other individuals. May assist software developers by analyzing user needs and designing software solutions. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.	Analyst Programmer, Applications Developer, Computer Programmer, Computer Programmer Analyst, Internet Programmer, Java Developer, Programmer, Programmer Analyst, Software Developer, Web Programmer
Computer Systems Analysts	Computer Systems Analysts	Analyze science, engineering, business, and other data processing problems to implement and improve computer systems. Analyze user requirements, procedures, and problems to automate or improve existing systems and review computer system capabilities, workflow, and scheduling limitations. May analyze or recommend commercially available software.	Applications Analyst, Business Analyst, Business Systems Analyst, Computer Analyst, Computer Systems Analyst, Computer Systems Consultant, Information Systems Analyst (ISA), Programmer Analyst, Systems Analyst, Systems Engineer
Informatics Nurse Specialists	Informatics Nurse Specialists	Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.	Business Consultant, Clinical Informatics; Clinical Applications Specialist; Clinical Coordinator; Clinical Informatics Director; Clinical Informatics Specialist; Clinical Informatics Strategist; Clinical Information Systems Director; Consultant; Director Clinical Information Services; Nursing Information Systems Coordinator
Computer User Support Specialists	Computer User Support Specialists	Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, or via telephone or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.	Computer Specialist, Computer Support Specialist, Computer Technician, Electronic Data Processing Auditor (EDP Auditor), Help Desk Analyst, Information Technology Specialist (IT Specialist), Network Support Specialist, Network Technician, Support Specialist, Technical Support Specialist
Database Administrators	Database Administrators	Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. May plan, coordinate, and implement security measures to safeguard computer databases.	Data Architect, Database Administration Manager, Database Administrator (DBA), Database Analyst, Database Coordinator, Database Developer, Database Programmer, Information Systems Manager, Management Information Systems Director (MIS Director), System Administrator
Information Security Analysts	Information Security Analysts	Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.	Computer Security Specialist, Computer Specialist, Data Security Administrator, Information Security Analyst, Information Security Manager, Information Security Officer, Information Security Specialist, Information Systems Security Analyst, Information Technology Security Analyst, Information Technology Specialist
Mathematical Science Occupations, All Other	Mathematical Science Occupations, All Other	All mathematical scientists not listed separately.	none
Mathematical Technicians	Mathematical Technicians	Apply standardized mathematical formulas, principles, and methodology to technological problems in engineering and physical sciences in relation to specific industrial and research objectives, processes, equipment, and products.	Summary  Details  Custo
Mathematicians	Mathematicians	Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.	Agent-Based Modeler, Computational Scientist, Cryptographer, Cryptographic Vulnerability Analyst, Director of Quantitative Research, Emerging Solutions Executive, Image Scientist, Lead Simulation Modeling Engineer, Research Scientist, Scientist
Network and Computer Systems Administrators	Network and Computer Systems Administrators	Install, configure, and support an organization's local area network (LAN), wide area network (WAN), and Internet systems or a segment of a network system. Monitor network to ensure network availability to all system users and may perform necessary maintenance to support network availability. May monitor and test Web site performance to ensure Web sites operate correctly and without interruption. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software. May supervise computer user support specialists and computer network support specialists. May administer network security measures.	Information Technology Director (IT Director), Information Technology Manager (IT Manager), Information Technology Specialist (IT Specialist), Local Area Network Administrator (LAN Administrator), Network Administrator, Network Engineer, Network Manager, Network Specialist, Systems Administrator, Systems Engineer
Operations Research Analysts	Operations Research Analysts	Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decision making, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, service, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.	Analytical Strategist, Business Analytics Director, Business Insight and Analytics Manager, Decision Analyst, Operations Research Analyst, Operations Research Group Manager, Operations Research Manager, Scientist
Software Developers, Applications	Software Developers, Applications	Develop, create, and modify general computer applications software or specialized utility programs. Analyze user needs and develop software solutions. Design software or customize software for client use with the aim of optimizing operational efficiency. May analyze and design databases within an application area, working individually or coordinating database development as part of a team. May supervise computer programmers.	Application Developer, Application Integration Engineer, Applications Developer, Computer Consultant, Information Technology Analyst (IT Analyst), Software Architect, Software Developer, Software Development Engineer, Software Engineer, Technical Consultant
Software Developers, Systems Software	Software Developers, Systems Software	Research, design, develop, and test operating systems-level software, compilers, and network distribution software for medical, industrial, military, communications, aerospace, business, scientific, and general computing applications. Set operational specifications and formulate and analyze software requirements. May design embedded systems software. Apply principles and techniques of computer science, engineering, and mathematical analysis.	Developer, Infrastructure Engineer, Network Engineer, Publishing Systems Analyst, Senior Software Engineer, Software Architect, Software Developer, Software Engineer, Systems Coordinator, Systems Engineer
Web Developers	Web Developers	Design, create, and modify Web sites. Analyze user needs to implement Web site content, graphics, performance, and capacity. May integrate Web sites with other computer applications. May convert written, graphic, audio, and video components to compatible Web formats by using software designed to facilitate the creation of Web and multimedia content.	Web Designer, Web Developer, Webmaster
Boilermakers	Boilermakers	Construct, assemble, maintain, and repair stationary steam boilers and boiler house auxiliaries. Align structures or plate sections to assemble boiler frame tanks or vats, following blueprints. Work involves use of hand and power tools, plumb bobs, levels, wedges, dogs, or turnbuckles. Assist in testing assembled vessels. Direct cleaning of boilers and boiler furnaces. Inspect and repair boiler fittings, such as safety valves, regulators, automatic-control mechanisms, water columns, and auxiliary machines.	Boiler Maker, Boiler Mechanic, Boiler Repairman, Boiler Service Technician, Boiler Technician, Boilermaker, Boilermaker Mechanic, Boilermaker Pipe Fitter, Boilermaker Welder, Service Technician
Brickmasons and Blockmasons	Brickmasons and Blockmasons	Lay and bind building materials, such as brick, structural tile, concrete block, cinder block, glass block, and terra-cotta block, with mortar and other substances to construct or repair walls, partitions, arches, sewers, and other structures.	Block Layer, Block Mason, Brick and Block Mason, Brick Layer, Brick Mason, Bricklayer, Brickmason, Concrete Finisher, Mason, Tender
Carpenters	Carpenters	Construct, erect, install, or repair structures and fixtures made of wood, such as concrete forms; building frameworks, including partitions, joists, studding, and rafters; and wood stairways, window and door frames, and hardwood floors. May also install cabinets, siding, drywall and batt or roll insulation. Includes brattice builders who build doors or brattices (ventilation walls or partitions) in underground passageways.	none
Construction Carpenters	Construction Carpenters	Construct, erect, install, and repair structures and fixtures of wood, plywood, and wallboard, using carpenter's hand tools and power tools.	Assembler, Cabinet Maker, Carpenter Foreman, Carpentry Foreman, Concrete Carpenter, Construction Superintendent, Construction Worker, Foreman, Framer, Production Worker
Rough Carpenters	Rough Carpenters	Build rough wooden structures, such as concrete forms, scaffolds, tunnel, bridge, or sewer supports, billboard signs, and temporary frame shelters, according to sketches, blueprints, or oral instructions.	Apprentice Carpenter, Bridge Carpenter, Bridge Repair Crew Person, Carpenter, Form Carpenter, Journeyman Carpenter, Rough Carpenter, Union Carpenter
Carpet Installers	Carpet Installers	Lay and install carpet from rolls or blocks on floors. Install padding and trim flooring materials.	Carpet Installer, Carpet Installer Helper, Carpet Layer, Carpet Mechanic, Commercial Floor Covering Installer, Floor Coverer, Floor Covering Installer, Floor Installation Mechanic, Flooring Installer, Installer
Cement Masons and Concrete Finishers	Cement Masons and Concrete Finishers	Smooth and finish surfaces of poured concrete, such as floors, walks, sidewalks, roads, or curbs using a variety of hand and power tools. Align forms for sidewalks, curbs, or gutters; patch voids; and use saws to cut expansion joints.	Cement Finisher, Cement Mason, Concrete Finisher, Concrete Mason, Finisher, Mason
Construction and Building Inspectors	Construction and Building Inspectors	Inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations. Inspections may be general in nature or may be limited to a specific area, such as electrical systems or plumbing.	Building Code Administrator, Building Inspection Engineer, Building Inspector, Building Official, Combination Building Inspector, Construction Inspector, Construction Materials Testing Technician, Elevator Inspector, Inspector, Plumbing Inspector
Construction and Related Workers, All Other	Construction and Related Workers, All Other	All construction and related workers not listed separately.	none
Solar Thermal Installers and Technicians	Solar Thermal Installers and Technicians	Install or repair solar energy systems designed to collect, store, and circulate solar-heated water for residential, commercial or industrial use.	Installer, Maintenance Technician, Service Technician, Solar Energy Technician, Solar Hot Water Installer (SHW Installer), Solar Installer, Solar Maintenance Technician, Solar System Installer, Solar Technician, Solar Thermal Installer
Weatherization Installers and Technicians	Weatherization Installers and Technicians	Perform a variety of activities to weatherize homes and make them more energy efficient. Duties include repairing windows, insulating ducts, and performing heating, ventilating, and air-conditioning (HVAC) work. May perform energy audits and advise clients on energy conservation measures.	Building Analyst/Supervisor, Director of Housing and Energy Services, Energy Administrator, Energy Assistant, Energy Auditor, Energy Conservation Director, Housing Director, Lead Weatherization Installer-Technician, Weatherization Director, Weatherization Installer
Construction Laborers	Construction Laborers	Perform tasks involving physical labor at construction sites. May operate hand and power tools of all types: air hammers, earth tampers, cement mixers, small mechanical hoists, surveying and measuring equipment, and a variety of other equipment and instruments. May clean and prepare sites, dig trenches, set braces to support the sides of excavations, erect scaffolding, and clean up rubble, debris and other waste materials. May assist other craft workers.	Construction Laborer, Construction Worker, Curb and Gutter Laborer, Drain Layer, Drop Crew Laborer, Helper, Laborer, Post Framer, Skill Labor, Union Laborer
Continuous Mining Machine Operators	Continuous Mining Machine Operators	Operate self-propelled mining machines that rip coal, metal and nonmetal ores, rock, stone, or sand from the mine face and load it onto conveyors or into shuttle cars in a continuous operation.	Bore Miner Operator, Continuous Miner, Continuous Miner Operator (CMO), Continuous Mining Machine Operator, Continuous Mining Operator (CMO), Heavy Equipment Operator, Loader Operator, Mine Technician, Mine Utility Operator, Miner Operator
Derrick Operators, Oil and Gas	Derrick Operators, Oil and Gas	Rig derrick equipment and operate pumps to circulate mud through drill hole.	Derrick Hand, Derrick Man, Derrick Operator, Derrick Worker, Floor Hand
Drywall and Ceiling Tile Installers	Drywall and Ceiling Tile Installers	Apply plasterboard or other wallboard to ceilings or interior walls of buildings. Apply or mount acoustical tiles or blocks, strips, or sheets of shock-absorbing materials to ceilings and walls of buildings to reduce or reflect sound. Materials may be of decorative quality. Includes lathers who fasten wooden, metal, or rockboard lath to walls, ceilings or partitions of buildings to provide support base for plaster, fire-proofing, or acoustical material.	Ceiling Installer, Dry Wall Installer, Drywall Finisher, Drywall Hanger, Drywall Installer, Drywall Mechanic, Drywaller, Exterior Interior Specialist, Metal Framer, Metal Stud Framer
Earth Drillers, Except Oil and Gas	Earth Drillers, Except Oil and Gas	Operate a variety of drills such as rotary, churn, and pneumatic to tap sub-surface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction. May use explosives. Includes horizontal and earth boring machine operators.	Blast Hole Driller, Blaster, Blasting Production Technician, Drill Operator, Driller, Hard Rock Drill Operator, Highwall Drill Operator, Overburden Drill Operator, Rock Drill Operator, Well Driller
Electricians	Electricians	Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems.	Chief Electrician; Control Electrician; Electrician; Industrial Electrician; Inside Wireman; Journeyman Electrician; Journeyman Wireman; Maintenance Electrician; Mechanical Trades Specialist, Electrician; Qualified Craft Worker, Electrician (QCW, Electrician)
Elevator Installers and Repairers	Elevator Installers and Repairers	Assemble, install, repair, or maintain electric or hydraulic freight or passenger elevators, escalators, or dumbwaiters.	Elevator Adjuster, Elevator Constructor, Elevator Mechanic, Elevator Repair and Maintenance Technician, Elevator Service Mechanic, Elevator Service Technician, Elevator Serviceman, Elevator Technician, Elevator Troubleshooter, Escalator Service Mechanic
Explosives Workers, Ordnance Handling Experts, and Blasters	Explosives Workers, Ordnance Handling Experts, and Blasters	Place and detonate explosives to demolish structures or to loosen, remove, or displace earth, rock, or other materials. May perform specialized handling, storage, and accounting procedures. Includes seismograph shooters.	Blaster, Explosive Technician, Powderman, Unexploded Ordnance Quality Control Officer
Extraction Workers, All Other	Extraction Workers, All Other	All extraction workers not listed separately.	none
Fence Erectors	Fence Erectors	Erect and repair fences and fence gates, using hand and power tools.	Fence Builder, Fence Erector, Fence Installer, Fence Laborer, Wood Fence Erector
First-Line Supervisors of Construction Trades and Extraction Workers	First-Line Supervisors of Construction Trades and Extraction Workers	Directly supervise and coordinate activities of construction or extraction workers.	Construction Foreman, Construction Superintendent, Construction Supervisor, Field Supervisor, Foreman, Job Superintendent, Project Superintendent, Site Superintendent, Superintendent, Supervisor
Solar Energy Installation Managers	Solar Energy Installation Managers	Direct work crews installing residential or commercial solar photovoltaic or thermal systems.	Branch Operations Manager, Crew Lead, Crew Leader, Foreman, Installation Manager, Installation Technician, Residential Field Manager, Solar Energy Installation Manager, Solar Installation Manager, Solar Installation Supervisor
Floor Layers, Except Carpet, Wood, and Hard Tiles	Floor Layers, Except Carpet, Wood, and Hard Tiles	Apply blocks, strips, or sheets of shock-absorbing, sound-deadening, or decorative coverings to floors.	Floor Covering Contractor, Floor Coverings Installer, Floor Layer, Flooring Helper, Flooring Installer, Flooring Mechanic, Tile Installer, Tile Setter, Vinyl Installer
Floor Sanders and Finishers	Floor Sanders and Finishers	Scrape and sand wooden floors to smooth surfaces using floor scraper and floor sanding machine, and apply coats of finish.	Floor Finisher, Floor Mechanic, Floor Refinisher, Floor Sander, Hardwood Floor Finisher, Hardwood Floor Refinisher, Hardwood Floor Sander
Glaziers	Glaziers	Install glass in windows, skylights, store fronts, and display cases, or on surfaces, such as building fronts, interior walls, ceilings, and tabletops.	Automobile Glass Technician, Commercial Glazier, Foreman, Glass Installer, Glass Technician, Glazer, Glazier, Glazing Superintendent, Journeyman Glazier, Master Glazier
Hazardous Materials Removal Workers	Hazardous Materials Removal Workers	Identify, remove, pack, transport, or dispose of hazardous materials, including asbestos, lead-based paint, waste oil, fuel, transmission fluid, radioactive materials, or contaminated soil. Specialized training and certification in hazardous materials handling or a confined entry permit are generally required. May operate earth-moving equipment or trucks.	Abatement Worker, Asbestos Abatement Worker, Asbestos Hazard Abatement Worker, Asbestos Remover, Asbestos Worker, Decontamination / Decommissioning Operator (D & D Operator), Field Technician, Hazmat Technician (Hazardous Materials Technician), Site Worker, Waste Handling Technician
Helpers, Construction Trades, All Other	Helpers, Construction Trades, All Other	All construction trades helpers not listed separately.	none
Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters	Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters	Help brickmasons, blockmasons, stonemasons, or tile and marble setters by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.	Brick and Blocker Aid, Labor; Bricklayer Helper; Helper; Helper, Marble Finisher; Hod Carrier; Lead Mason Tender; Mason Tender; Mason Tender, Restoration Labor; Mortar Mixer; Tender, Labor
Helpers--Carpenters	Helpers--Carpenters	Help carpenters by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.	Carpenter Assistant, Installer; Carpenter Helper; Carpenter's Helper; Carpenter/Labor; Carpentry; Drywall Hanger, Framer; Form Setter; Form Setter/Driver; Framing and Hanging; Hanger
Helpers--Electricians	Helpers--Electricians	Help electricians by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.	Apprentice Electrician, Cable Puller, Electrical Apprentice, Electrician Apprentice, Electrician Helper, Electrician's Helper, Unindentured Apprentice
Helpers--Extraction Workers	Helpers--Extraction Workers	Help extraction craft workers, such as earth drillers, blasters and explosives workers, derrick operators, and mining machine operators, by performing duties requiring less skill. Duties include supplying equipment or cleaning work area.	Blasting Helper, Coal Miner, Continuous Miner Operator Helper, Driller Helper, Longwall Machine Operator Helper, Maintainer, Miner Helper, Mining Technician, Salt Miner, Underground Miner
Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons	Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons	Help painters, paperhangers, plasterers, or stucco masons by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.	Exterior Insulation and Finish System Installer (EIFS Installer), Painter Helper, Plaster Helper, Plaster Tender, Scaffold Setter, Stucco Laborer, Wallboard Worker
Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	Help plumbers, pipefitters, steamfitters, or pipelayers by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.	Apprentice, Apprentice Plumber, Drain Technician, Gas Fitter, Helper, Irrigation Technician, Plumber Apprentice, Plumber's Helper, Service Technician, Sprinkler Fitter
Helpers--Roofers	Helpers--Roofers	Help roofers by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.	Kettleman, Roof Technician, Roofer Helper, Roofing Apprentice, Roofing Laborer
Highway Maintenance Workers	Highway Maintenance Workers	Maintain highways, municipal and rural roads, airport runways, and rights-of-way. Duties include patching broken or eroded pavement, repairing guard rails, highway markers, and snow fences. May also mow or clear brush from along road or plow snow from roadway.	Equipment Operator (EO), Heavy Equipment Operator, Highway Maintainer, Highway Maintenance Crew Worker, Highway Maintenance Technician, Highway Maintenance Worker, Highway Worker, Transportation Maintenance Operator, Transportation Maintenance Specialist (TMS), Truck Driver
Insulation Workers, Floor, Ceiling, and Wall	Insulation Workers, Floor, Ceiling, and Wall	Line and cover structures with insulating materials. May work with batt, roll, or blown insulation materials.	Attic Blower, Installer, Insulation Estimator, Insulation Installer, Insulation Mechanic, Insulation Worker, Insulator, Retrofit Installer, Spray Foam Installer, Warehouse Insulation Worker
Insulation Workers, Mechanical	Insulation Workers, Mechanical	Apply insulating materials to pipes or ductwork, or other mechanical systems in order to help control and maintain temperature.	Commercial Insulator, Heat and Frost Insulator, Industrial Insulator, Insulation Helper, Insulation Installer, Insulation Mechanic, Insulation Worker, Insulator, Mechanic Insulator, Mechanical Insulator
Mine Cutting and Channeling Machine Operators	Mine Cutting and Channeling Machine Operators	Operate machinery such as longwall shears, plows, and cutting machines to cut or channel along the face or seams of coal mines, stone quarries, or other mining surfaces to facilitate blasting, separating, or removing minerals or materials from mines or from the Earth's surface. Includes shale planers.	Bore Miner Operator, Coal Miner, Longwall Shearer Operator, Miner Operator, Shear Operator, Shearer Operator, Underground Heavy Equipment Operator, Underground Miner
Mining Machine Operators, All Other	Mining Machine Operators, All Other	All mining machine operators not listed separately.	none
Operating Engineers and Other Construction Equipment Operators	Operating Engineers and Other Construction Equipment Operators	Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties.	Back Hoe Operator, Engineering Equipment Operator, Equipment Operator, Heavy Equipment Operator, Loader Operator, Machine Operator, Motor Grader Operator, Operating Engineer, Operator, Track Hoe Operator
