	Code	Occupation_x	Job Family	Career Cluster	Career Pathway	Occupation_y	fullCode	SCode	word_tokens	Title	summary	sampleTitles	summary_tokens	sampleT_tokens
267	47-5021	Earth Drillers, Except Oil and Gas  	Construction and Extraction	Architecture & Construction	Construction	Earth Drillers, Except Oil and Gas	47-5021.00	.00	['Earth', 'Drillers', 'Except', 'Oil', 'and', 'Gas']	Earth Drillers, Except Oil and Gas	Operate a variety of drills such as rotary, churn, and pneumatic to tap sub-surface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction. May use explosives. Includes horizontal and earth boring machine operators.	Blast Hole Driller, Blaster, Blasting Production Technician, Drill Operator, Driller, Hard Rock Drill Operator, Highwall Drill Operator, Overburden Drill Operator, Rock Drill Operator, Well Driller	['Operate', 'a', 'variety', 'of', 'drills', 'such', 'as', 'rotary', 'churn', 'and', 'pneumatic', 'to', 'tap', 'sub', 'surface', 'water', 'and', 'salt', 'deposits', 'to', 'remove', 'core', 'samples', 'during', 'mineral', 'exploration', 'or', 'soil', 'testing', 'and', 'to', 'facilitate', 'the', 'use', 'of', 'explosives', 'in', 'mining', 'or', 'construction', 'May', 'use', 'explosives', 'Includes', 'horizontal', 'and', 'earth', 'boring', 'machine', 'operators']	['Blast', 'Hole', 'Driller', 'Blaster', 'Blasting', 'Production', 'Technician', 'Drill', 'Operator', 'Driller', 'Hard', 'Rock', 'Drill', 'Operator', 'Highwall', 'Drill', 'Operator', 'Overburden', 'Drill', 'Operator', 'Rock', 'Drill', 'Operator', 'Well', 'Driller']
268	47-2111	Electricians    	Construction and Extraction	Architecture & Construction	Construction	Electricians	47-2111.00	.00	['Electricians']	Electricians	Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems.	Chief Electrician; Control Electrician; Electrician; Industrial Electrician; Inside Wireman; Journeyman Electrician; Journeyman Wireman; Maintenance Electrician; Mechanical Trades Specialist, Electrician; Qualified Craft Worker, Electrician (QCW, Electrician)	['Install', 'maintain', 'and', 'repair', 'electrical', 'wiring', 'equipment', 'and', 'fixtures', 'Ensure', 'that', 'work', 'is', 'in', 'accordance', 'with', 'relevant', 'codes', 'May', 'install', 'or', 'service', 'street', 'lights', 'intercom', 'systems', 'or', 'electrical', 'control', 'systems']	['Chief', 'Electrician', 'Control', 'Electrician', 'Electrician', 'Industrial', 'Electrician', 'Inside', 'Wireman', 'Journeyman', 'Electrician', 'Journeyman', 'Wireman', 'Maintenance', 'Electrician', 'Mechanical', 'Trades', 'Specialist', 'Electrician', 'Qualified', 'Craft', 'Worker', 'Electrician', 'QCW', 'Electrician']
269	47-4021	Elevator Installers and Repairers	Construction and Extraction	Architecture & Construction	Maintenance/Operations	Elevator Installers and Repairers	47-4021.00	.00	['Elevator', 'Installers', 'and', 'Repairers']	Elevator Installers and Repairers	Assemble, install, repair, or maintain electric or hydraulic freight or passenger elevators, escalators, or dumbwaiters.	Elevator Adjuster, Elevator Constructor, Elevator Mechanic, Elevator Repair and Maintenance Technician, Elevator Service Mechanic, Elevator Service Technician, Elevator Serviceman, Elevator Technician, Elevator Troubleshooter, Escalator Service Mechanic	['Assemble', 'install', 'repair', 'or', 'maintain', 'electric', 'or', 'hydraulic', 'freight', 'or', 'passenger', 'elevators', 'escalators', 'or', 'dumbwaiters']	['Elevator', 'Adjuster', 'Elevator', 'Constructor', 'Elevator', 'Mechanic', 'Elevator', 'Repair', 'and', 'Maintenance', 'Technician', 'Elevator', 'Service', 'Mechanic', 'Elevator', 'Service', 'Technician', 'Elevator', 'Serviceman', 'Elevator', 'Technician', 'Elevator', 'Troubleshooter', 'Escalator', 'Service', 'Mechanic']
270	47-5031	Explosives Workers, Ordnance Handling Experts, and Blasters	Construction and Extraction	Architecture & Construction	Construction	Explosives Workers, Ordnance Handling Experts, and Blasters	47-5031.00	.00	['Explosives', 'Workers', 'Ordnance', 'Handling', 'Experts', 'and', 'Blasters']	Explosives Workers, Ordnance Handling Experts, and Blasters	Place and detonate explosives to demolish structures or to loosen, remove, or displace earth, rock, or other materials. May perform specialized handling, storage, and accounting procedures. Includes seismograph shooters.	Blaster, Explosive Technician, Powderman, Unexploded Ordnance Quality Control Officer	['Place', 'and', 'detonate', 'explosives', 'to', 'demolish', 'structures', 'or', 'to', 'loosen', 'remove', 'or', 'displace', 'earth', 'rock', 'or', 'other', 'materials', 'May', 'perform', 'specialized', 'handling', 'storage', 'and', 'accounting', 'procedures', 'Includes', 'seismograph', 'shooters']	['Blaster', 'Explosive', 'Technician', 'Powderman', 'Unexploded', 'Ordnance', 'Quality', 'Control', 'Officer']
271	47-5099	Extraction Workers, All Other	Construction and Extraction	Architecture & Construction	Construction	Extraction Workers, All Other	47-5099.00	.00	['Extraction', 'Workers', 'All', 'Other']	Extraction Workers, All Other	All extraction workers not listed separately.	cupations with a wide range of characteristics which do not fit into one of the detailed O*NET-SOC occupations. O*NET data is not available for this type of title.	['All', 'extraction', 'workers', 'not', 'listed', 'separately']	['cupations', 'with', 'a', 'wide', 'range', 'of', 'characteristics', 'which', 'do', 'not', 'fit', 'into', 'one', 'of', 'the', 'detailed', 'O', 'NET', 'SOC', 'occupations', 'O', 'NET', 'data', 'is', 'not', 'available', 'for', 'this', 'type', 'of', 'title']
272	47-4031	Fence Erectors	Construction and Extraction	Architecture & Construction	Construction	Fence Erectors	47-4031.00	.00	['Fence', 'Erectors']	Fence Erectors	Erect and repair fences and fence gates, using hand and power tools.	Fence Builder, Fence Erector, Fence Installer, Fence Laborer, Wood Fence Erector	['Erect', 'and', 'repair', 'fences', 'and', 'fence', 'gates', 'using', 'hand', 'and', 'power', 'tools']	['Fence', 'Builder', 'Fence', 'Erector', 'Fence', 'Installer', 'Fence', 'Laborer', 'Wood', 'Fence', 'Erector']
273	47-1011	First-Line Supervisors of Construction Trades and Extraction Workers 	Construction and Extraction	Architecture & Construction	Construction	First-Line Supervisors of Construction Trades and Extraction Workers	47-1011.00	.00	['First', 'Line', 'Supervisors', 'of', 'Construction', 'Trades', 'and', 'Extraction', 'Workers']	First-Line Supervisors of Construction Trades and Extraction Workers	Directly supervise and coordinate activities of construction or extraction workers.	Construction Foreman, Construction Superintendent, Construction Supervisor, Field Supervisor, Foreman, Job Superintendent, Project Superintendent, Site Superintendent, Superintendent, Supervisor	['Directly', 'supervise', 'and', 'coordinate', 'activities', 'of', 'construction', 'or', 'extraction', 'workers']	['Construction', 'Foreman', 'Construction', 'Superintendent', 'Construction', 'Supervisor', 'Field', 'Supervisor', 'Foreman', 'Job', 'Superintendent', 'Project', 'Superintendent', 'Site', 'Superintendent', 'Superintendent', 'Supervisor']
274	47-1011	Solar Energy Installation Managers    	Construction and Extraction	Architecture & Construction	Construction	Solar Energy Installation Managers	47-1011.03	.03	['Solar', 'Energy', 'Installation', 'Managers']	First-Line Supervisors of Construction Trades and Extraction Workers	Direct work crews installing residential or commercial solar photovoltaic or thermal systems.	Branch Operations Manager, Crew Lead, Crew Leader, Foreman, Installation Manager, Installation Technician, Residential Field Manager, Solar Energy Installation Manager, Solar Installation Manager, Solar Installation Supervisor	['Direct', 'work', 'crews', 'installing', 'residential', 'or', 'commercial', 'solar', 'photovoltaic', 'or', 'thermal', 'systems']	['Branch', 'Operations', 'Manager', 'Crew', 'Lead', 'Crew', 'Leader', 'Foreman', 'Installation', 'Manager', 'Installation', 'Technician', 'Residential', 'Field', 'Manager', 'Solar', 'Energy', 'Installation', 'Manager', 'Solar', 'Installation', 'Manager', 'Solar', 'Installation', 'Supervisor']
275	47-2042	Floor Layers, Except Carpet, Wood, and Hard Tiles	Construction and Extraction	Architecture & Construction	Construction	Floor Layers, Except Carpet, Wood, and Hard Tiles	47-2042.00	.00	['Floor', 'Layers', 'Except', 'Carpet', 'Wood', 'and', 'Hard', 'Tiles']	Floor Layers, Except Carpet, Wood, and Hard Tiles	Apply blocks, strips, or sheets of shock-absorbing, sound-deadening, or decorative coverings to floors.	Floor Covering Contractor, Floor Coverings Installer, Floor Layer, Flooring Helper, Flooring Installer, Flooring Mechanic, Tile Installer, Tile Setter, Vinyl Installer	['Apply', 'blocks', 'strips', 'or', 'sheets', 'of', 'shock', 'absorbing', 'sound', 'deadening', 'or', 'decorative', 'coverings', 'to', 'floors']	['Floor', 'Covering', 'Contractor', 'Floor', 'Coverings', 'Installer', 'Floor', 'Layer', 'Flooring', 'Helper', 'Flooring', 'Installer', 'Flooring', 'Mechanic', 'Tile', 'Installer', 'Tile', 'Setter', 'Vinyl', 'Installer']
276	47-2043	Floor Sanders and Finishers	Construction and Extraction	Architecture & Construction	Construction	Floor Sanders and Finishers	47-2043.00	.00	['Floor', 'Sanders', 'and', 'Finishers']	Floor Sanders and Finishers	Scrape and sand wooden floors to smooth surfaces using floor scraper and floor sanding machine, and apply coats of finish.	Floor Finisher, Floor Mechanic, Floor Refinisher, Floor Sander, Hardwood Floor Finisher, Hardwood Floor Refinisher, Hardwood Floor Sander	['Scrape', 'and', 'sand', 'wooden', 'floors', 'to', 'smooth', 'surfaces', 'using', 'floor', 'scraper', 'and', 'floor', 'sanding', 'machine', 'and', 'apply', 'coats', 'of', 'finish']	['Floor', 'Finisher', 'Floor', 'Mechanic', 'Floor', 'Refinisher', 'Floor', 'Sander', 'Hardwood', 'Floor', 'Finisher', 'Hardwood', 'Floor', 'Refinisher', 'Hardwood', 'Floor', 'Sander']
277	47-2121	Glaziers	Construction and Extraction	Architecture & Construction	Construction	Glaziers	47-2121.00	.00	['Glaziers']	Glaziers	Install glass in windows, skylights, store fronts, and display cases, or on surfaces, such as building fronts, interior walls, ceilings, and tabletops.	Automobile Glass Technician, Commercial Glazier, Foreman, Glass Installer, Glass Technician, Glazer, Glazier, Glazing Superintendent, Journeyman Glazier, Master Glazier	['Install', 'glass', 'in', 'windows', 'skylights', 'store', 'fronts', 'and', 'display', 'cases', 'or', 'on', 'surfaces', 'such', 'as', 'building', 'fronts', 'interior', 'walls', 'ceilings', 'and', 'tabletops']	['Automobile', 'Glass', 'Technician', 'Commercial', 'Glazier', 'Foreman', 'Glass', 'Installer', 'Glass', 'Technician', 'Glazer', 'Glazier', 'Glazing', 'Superintendent', 'Journeyman', 'Glazier', 'Master', 'Glazier']
278	47-4041	Hazardous Materials Removal Workers  	Construction and Extraction	Agriculture, Food & Natural Resources	Environmental Service Systems	Hazardous Materials Removal Workers	47-4041.00	.00	['Hazardous', 'Materials', 'Removal', 'Workers']	Hazardous Materials Removal Workers	Identify, remove, pack, transport, or dispose of hazardous materials, including asbestos, lead-based paint, waste oil, fuel, transmission fluid, radioactive materials, or contaminated soil. Specialized training and certification in hazardous materials handling or a confined entry permit are generally required. May operate earth-moving equipment or trucks.	Abatement Worker, Asbestos Abatement Worker, Asbestos Hazard Abatement Worker, Asbestos Remover, Asbestos Worker, Decontamination / Decommissioning Operator (D & D Operator), Field Technician, Hazmat Technician (Hazardous Materials Technician), Site Worker, Waste Handling Technician	['Identify', 'remove', 'pack', 'transport', 'or', 'dispose', 'of', 'hazardous', 'materials', 'including', 'asbestos', 'lead', 'based', 'paint', 'waste', 'oil', 'fuel', 'transmission', 'fluid', 'radioactive', 'materials', 'or', 'contaminated', 'soil', 'Specialized', 'training', 'and', 'certification', 'in', 'hazardous', 'materials', 'handling', 'or', 'a', 'confined', 'entry', 'permit', 'are', 'generally', 'required', 'May', 'operate', 'earth', 'moving', 'equipment', 'or', 'trucks']	['Abatement', 'Worker', 'Asbestos', 'Abatement', 'Worker', 'Asbestos', 'Hazard', 'Abatement', 'Worker', 'Asbestos', 'Remover', 'Asbestos', 'Worker', 'Decontamination', 'Decommissioning', 'Operator', 'D', 'D', 'Operator', 'Field', 'Technician', 'Hazmat', 'Technician', 'Hazardous', 'Materials', 'Technician', 'Site', 'Worker', 'Waste', 'Handling', 'Technician']
279	47-3019	Helpers, Construction Trades, All Other	Construction and Extraction	Architecture & Construction	Construction	Helpers, Construction Trades, All Other	47-3019.00	.00	['Helpers', 'Construction', 'Trades', 'All', 'Other']	Helpers, Construction Trades, All Other	All construction trades helpers not listed separately.	cupations with a wide range of characteristics which do not fit into one of the detailed O*NET-SOC occupations. O*NET data is not available for this type of title.	['All', 'construction', 'trades', 'helpers', 'not', 'listed', 'separately']	['cupations', 'with', 'a', 'wide', 'range', 'of', 'characteristics', 'which', 'do', 'not', 'fit', 'into', 'one', 'of', 'the', 'detailed', 'O', 'NET', 'SOC', 'occupations', 'O', 'NET', 'data', 'is', 'not', 'available', 'for', 'this', 'type', 'of', 'title']
280	47-3011	Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters  	Construction and Extraction	Architecture & Construction	Construction	Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters	47-3011.00	.00	['Helpers', 'Brickmasons', 'Blockmasons', 'Stonemasons', 'and', 'Tile', 'and', 'Marble', 'Setters']	Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters	Help brickmasons, blockmasons, stonemasons, or tile and marble setters by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.	Brick and Blocker Aid, Labor; Bricklayer Helper; Helper; Helper, Marble Finisher; Hod Carrier; Lead Mason Tender; Mason Tender; Mason Tender, Restoration Labor; Mortar Mixer; Tender, Labor	['Help', 'brickmasons', 'blockmasons', 'stonemasons', 'or', 'tile', 'and', 'marble', 'setters', 'by', 'performing', 'duties', 'requiring', 'less', 'skill', 'Duties', 'include', 'using', 'supplying', 'or', 'holding', 'materials', 'or', 'tools', 'and', 'cleaning', 'work', 'area', 'and', 'equipment']	['Brick', 'and', 'Blocker', 'Aid', 'Labor', 'Bricklayer', 'Helper', 'Helper', 'Helper', 'Marble', 'Finisher', 'Hod', 'Carrier', 'Lead', 'Mason', 'Tender', 'Mason', 'Tender', 'Mason', 'Tender', 'Restoration', 'Labor', 'Mortar', 'Mixer', 'Tender', 'Labor']
281	47-3012	Helpers--Carpenters  	Construction and Extraction	Architecture & Construction	Construction	Helpers--Carpenters	47-3012.00	.00	['Helpers', 'Carpenters']	Helpers--Carpenters	Help carpenters by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.	Carpenter Assistant, Installer; Carpenter Helper; Carpenter's Helper; Carpenter/Labor; Carpentry; Drywall Hanger, Framer; Form Setter; Form Setter/Driver; Framing and Hanging; Hanger	['Help', 'carpenters', 'by', 'performing', 'duties', 'requiring', 'less', 'skill', 'Duties', 'include', 'using', 'supplying', 'or', 'holding', 'materials', 'or', 'tools', 'and', 'cleaning', 'work', 'area', 'and', 'equipment']	"['Carpenter', 'Assistant', 'Installer', 'Carpenter', 'Helper', ""Carpenter's"", 'Helper', 'Carpenter', 'Labor', 'Carpentry', 'Drywall', 'Hanger', 'Framer', 'Form', 'Setter', 'Form', 'Setter', 'Driver', 'Framing', 'and', 'Hanging', 'Hanger']"
282	47-3013	Helpers--Electricians  	Construction and Extraction	Architecture & Construction	Construction	Helpers--Electricians	47-3013.00	.00	['Helpers', 'Electricians']	Helpers--Electricians	Help electricians by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.	Apprentice Electrician, Cable Puller, Electrical Apprentice, Electrician Apprentice, Electrician Helper, Electrician's Helper, Unindentured Apprentice	['Help', 'electricians', 'by', 'performing', 'duties', 'requiring', 'less', 'skill', 'Duties', 'include', 'using', 'supplying', 'or', 'holding', 'materials', 'or', 'tools', 'and', 'cleaning', 'work', 'area', 'and', 'equipment']	"['Apprentice', 'Electrician', 'Cable', 'Puller', 'Electrical', 'Apprentice', 'Electrician', 'Apprentice', 'Electrician', 'Helper', ""Electrician's"", 'Helper', 'Unindentured', 'Apprentice']"
283	47-5081	Helpers--Extraction Workers	Construction and Extraction	Architecture & Construction	Construction	Helpers--Extraction Workers	47-5081.00	.00	['Helpers', 'Extraction', 'Workers']	Helpers--Extraction Workers	Help extraction craft workers, such as earth drillers, blasters and explosives workers, derrick operators, and mining machine operators, by performing duties requiring less skill. Duties include supplying equipment or cleaning work area.	Blasting Helper, Coal Miner, Continuous Miner Operator Helper, Driller Helper, Longwall Machine Operator Helper, Maintainer, Miner Helper, Mining Technician, Salt Miner, Underground Miner	['Help', 'extraction', 'craft', 'workers', 'such', 'as', 'earth', 'drillers', 'blasters', 'and', 'explosives', 'workers', 'derrick', 'operators', 'and', 'mining', 'machine', 'operators', 'by', 'performing', 'duties', 'requiring', 'less', 'skill', 'Duties', 'include', 'supplying', 'equipment', 'or', 'cleaning', 'work', 'area']	['Blasting', 'Helper', 'Coal', 'Miner', 'Continuous', 'Miner', 'Operator', 'Helper', 'Driller', 'Helper', 'Longwall', 'Machine', 'Operator', 'Helper', 'Maintainer', 'Miner', 'Helper', 'Mining', 'Technician', 'Salt', 'Miner', 'Underground', 'Miner']
284	47-3014	Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons	Construction and Extraction	Architecture & Construction	Construction	Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons	47-3014.00	.00	['Helpers', 'Painters', 'Paperhangers', 'Plasterers', 'and', 'Stucco', 'Masons']	Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons	Help painters, paperhangers, plasterers, or stucco masons by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.	Exterior Insulation and Finish System Installer (EIFS Installer), Painter Helper, Plaster Helper, Plaster Tender, Scaffold Setter, Stucco Laborer, Wallboard Worker	['Help', 'painters', 'paperhangers', 'plasterers', 'or', 'stucco', 'masons', 'by', 'performing', 'duties', 'requiring', 'less', 'skill', 'Duties', 'include', 'using', 'supplying', 'or', 'holding', 'materials', 'or', 'tools', 'and', 'cleaning', 'work', 'area', 'and', 'equipment']	['Exterior', 'Insulation', 'and', 'Finish', 'System', 'Installer', 'EIFS', 'Installer', 'Painter', 'Helper', 'Plaster', 'Helper', 'Plaster', 'Tender', 'Scaffold', 'Setter', 'Stucco', 'Laborer', 'Wallboard', 'Worker']
285	47-3015	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	Construction and Extraction	Architecture & Construction	Construction	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	47-3015.00	.00	['Helpers', 'Pipelayers', 'Plumbers', 'Pipefitters', 'and', 'Steamfitters']	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	Help plumbers, pipefitters, steamfitters, or pipelayers by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.	Apprentice, Apprentice Plumber, Drain Technician, Gas Fitter, Helper, Irrigation Technician, Plumber Apprentice, Plumber's Helper, Service Technician, Sprinkler Fitter	['Help', 'plumbers', 'pipefitters', 'steamfitters', 'or', 'pipelayers', 'by', 'performing', 'duties', 'requiring', 'less', 'skill', 'Duties', 'include', 'using', 'supplying', 'or', 'holding', 'materials', 'or', 'tools', 'and', 'cleaning', 'work', 'area', 'and', 'equipment']	"['Apprentice', 'Apprentice', 'Plumber', 'Drain', 'Technician', 'Gas', 'Fitter', 'Helper', 'Irrigation', 'Technician', 'Plumber', 'Apprentice', ""Plumber's"", 'Helper', 'Service', 'Technician', 'Sprinkler', 'Fitter']"
286	47-3016	Helpers--Roofers  	Construction and Extraction	Architecture & Construction	Construction	Helpers--Roofers	47-3016.00	.00	['Helpers', 'Roofers']	Helpers--Roofers	Help roofers by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.	Kettleman, Roof Technician, Roofer Helper, Roofing Apprentice, Roofing Laborer	['Help', 'roofers', 'by', 'performing', 'duties', 'requiring', 'less', 'skill', 'Duties', 'include', 'using', 'supplying', 'or', 'holding', 'materials', 'or', 'tools', 'and', 'cleaning', 'work', 'area', 'and', 'equipment']	['Kettleman', 'Roof', 'Technician', 'Roofer', 'Helper', 'Roofing', 'Apprentice', 'Roofing', 'Laborer']
287	47-4051	Highway Maintenance Workers	Construction and Extraction	Architecture & Construction	Maintenance/Operations	Highway Maintenance Workers	47-4051.00	.00	['Highway', 'Maintenance', 'Workers']	Highway Maintenance Workers	Maintain highways, municipal and rural roads, airport runways, and rights-of-way. Duties include patching broken or eroded pavement, repairing guard rails, highway markers, and snow fences. May also mow or clear brush from along road or plow snow from roadway.	Equipment Operator (EO), Heavy Equipment Operator, Highway Maintainer, Highway Maintenance Crew Worker, Highway Maintenance Technician, Highway Maintenance Worker, Highway Worker, Transportation Maintenance Operator, Transportation Maintenance Specialist (TMS), Truck Driver	['Maintain', 'highways', 'municipal', 'and', 'rural', 'roads', 'airport', 'runways', 'and', 'rights', 'of', 'way', 'Duties', 'include', 'patching', 'broken', 'or', 'eroded', 'pavement', 'repairing', 'guard', 'rails', 'highway', 'markers', 'and', 'snow', 'fences', 'May', 'also', 'mow', 'or', 'clear', 'brush', 'from', 'along', 'road', 'or', 'plow', 'snow', 'from', 'roadway']	['Equipment', 'Operator', 'EO', 'Heavy', 'Equipment', 'Operator', 'Highway', 'Maintainer', 'Highway', 'Maintenance', 'Crew', 'Worker', 'Highway', 'Maintenance', 'Technician', 'Highway', 'Maintenance', 'Worker', 'Highway', 'Worker', 'Transportation', 'Maintenance', 'Operator', 'Transportation', 'Maintenance', 'Specialist', 'TMS', 'Truck', 'Driver']
288	47-2131	Insulation Workers, Floor, Ceiling, and Wall  	Construction and Extraction	Architecture & Construction	Construction	Insulation Workers, Floor, Ceiling, and Wall	47-2131.00	.00	['Insulation', 'Workers', 'Floor', 'Ceiling', 'and', 'Wall']	Insulation Workers, Floor, Ceiling, and Wall	Line and cover structures with insulating materials. May work with batt, roll, or blown insulation materials.	Attic Blower, Installer, Insulation Estimator, Insulation Installer, Insulation Mechanic, Insulation Worker, Insulator, Retrofit Installer, Spray Foam Installer, Warehouse Insulation Worker	['Line', 'and', 'cover', 'structures', 'with', 'insulating', 'materials', 'May', 'work', 'with', 'batt', 'roll', 'or', 'blown', 'insulation', 'materials']	['Attic', 'Blower', 'Installer', 'Insulation', 'Estimator', 'Insulation', 'Installer', 'Insulation', 'Mechanic', 'Insulation', 'Worker', 'Insulator', 'Retrofit', 'Installer', 'Spray', 'Foam', 'Installer', 'Warehouse', 'Insulation', 'Worker']
289	47-2132	Insulation Workers, Mechanical  	Construction and Extraction	Architecture & Construction	Construction	Insulation Workers, Mechanical	47-2132.00	.00	['Insulation', 'Workers', 'Mechanical']	Insulation Workers, Mechanical	Apply insulating materials to pipes or ductwork, or other mechanical systems in order to help control and maintain temperature.	Commercial Insulator, Heat and Frost Insulator, Industrial Insulator, Insulation Helper, Insulation Installer, Insulation Mechanic, Insulation Worker, Insulator, Mechanic Insulator, Mechanical Insulator	['Apply', 'insulating', 'materials', 'to', 'pipes', 'or', 'ductwork', 'or', 'other', 'mechanical', 'systems', 'in', 'order', 'to', 'help', 'control', 'and', 'maintain', 'temperature']	['Commercial', 'Insulator', 'Heat', 'and', 'Frost', 'Insulator', 'Industrial', 'Insulator', 'Insulation', 'Helper', 'Insulation', 'Installer', 'Insulation', 'Mechanic', 'Insulation', 'Worker', 'Insulator', 'Mechanic', 'Insulator', 'Mechanical', 'Insulator']
290	47-5042	Mine Cutting and Channeling Machine Operators	Construction and Extraction	Architecture & Construction	Construction	Mine Cutting and Channeling Machine Operators	47-5042.00	.00	['Mine', 'Cutting', 'and', 'Channeling', 'Machine', 'Operators']	Mine Cutting and Channeling Machine Operators	Operate machinery such as longwall shears, plows, and cutting machines to cut or channel along the face or seams of coal mines, stone quarries, or other mining surfaces to facilitate blasting, separating, or removing minerals or materials from mines or from the Earth's surface. Includes shale planers.	Bore Miner Operator, Coal Miner, Longwall Shearer Operator, Miner Operator, Shear Operator, Shearer Operator, Underground Heavy Equipment Operator, Underground Miner	"['Operate', 'machinery', 'such', 'as', 'longwall', 'shears', 'plows', 'and', 'cutting', 'machines', 'to', 'cut', 'or', 'channel', 'along', 'the', 'face', 'or', 'seams', 'of', 'coal', 'mines', 'stone', 'quarries', 'or', 'other', 'mining', 'surfaces', 'to', 'facilitate', 'blasting', 'separating', 'or', 'removing', 'minerals', 'or', 'materials', 'from', 'mines', 'or', 'from', 'the', ""Earth's"", 'surface', 'Includes', 'shale', 'planers']"	['Bore', 'Miner', 'Operator', 'Coal', 'Miner', 'Longwall', 'Shearer', 'Operator', 'Miner', 'Operator', 'Shear', 'Operator', 'Shearer', 'Operator', 'Underground', 'Heavy', 'Equipment', 'Operator', 'Underground', 'Miner']
291	47-5049	Mining Machine Operators, All Other	Construction and Extraction	Architecture & Construction	Construction	Mining Machine Operators, All Other	47-5049.00	.00	['Mining', 'Machine', 'Operators', 'All', 'Other']	Mining Machine Operators, All Other	All mining machine operators not listed separately.	cupations with a wide range of characteristics which do not fit into one of the detailed O*NET-SOC occupations. O*NET data is not available for this type of title.	['All', 'mining', 'machine', 'operators', 'not', 'listed', 'separately']	['cupations', 'with', 'a', 'wide', 'range', 'of', 'characteristics', 'which', 'do', 'not', 'fit', 'into', 'one', 'of', 'the', 'detailed', 'O', 'NET', 'SOC', 'occupations', 'O', 'NET', 'data', 'is', 'not', 'available', 'for', 'this', 'type', 'of', 'title']
292	47-2073	Operating Engineers and Other Construction Equipment Operators  	Construction and Extraction	Architecture & Construction	Construction	Operating Engineers and Other Construction Equipment Operators	47-2073.00	.00	['Operating', 'Engineers', 'and', 'Other', 'Construction', 'Equipment', 'Operators']	Operating Engineers and Other Construction Equipment Operators	Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties.	Back Hoe Operator, Engineering Equipment Operator, Equipment Operator, Heavy Equipment Operator, Loader Operator, Machine Operator, Motor Grader Operator, Operating Engineer, Operator, Track Hoe Operator	['Operate', 'one', 'or', 'several', 'types', 'of', 'power', 'construction', 'equipment', 'such', 'as', 'motor', 'graders', 'bulldozers', 'scrapers', 'compressors', 'pumps', 'derricks', 'shovels', 'tractors', 'or', 'front', 'end', 'loaders', 'to', 'excavate', 'move', 'and', 'grade', 'earth', 'erect', 'structures', 'or', 'pour', 'concrete', 'or', 'other', 'hard', 'surface', 'pavement', 'May', 'repair', 'and', 'maintain', 'equipment', 'in', 'addition', 'to', 'other', 'duties']	['Back', 'Hoe', 'Operator', 'Engineering', 'Equipment', 'Operator', 'Equipment', 'Operator', 'Heavy', 'Equipment', 'Operator', 'Loader', 'Operator', 'Machine', 'Operator', 'Motor', 'Grader', 'Operator', 'Operating', 'Engineer', 'Operator', 'Track', 'Hoe', 'Operator']
293	47-2141	Painters, Construction and Maintenance	Construction and Extraction	Architecture & Construction	Construction	Painters, Construction and Maintenance	47-2141.00	.00	['Painters', 'Construction', 'and', 'Maintenance']	Painters, Construction and Maintenance	Paint walls, equipment, buildings, bridges, and other structural surfaces, using brushes, rollers, and spray guns. May remove old paint to prepare surface prior to painting. May mix colors or oils to obtain desired color or consistency.	Facilities Painter, Foreman, Highway Painter, House Painter, Industrial Painter, Journeyman Painter, Maintenance Painter, Painter, Painter Foreman, Senior Painter	['Paint', 'walls', 'equipment', 'buildings', 'bridges', 'and', 'other', 'structural', 'surfaces', 'using', 'brushes', 'rollers', 'and', 'spray', 'guns', 'May', 'remove', 'old', 'paint', 'to', 'prepare', 'surface', 'prior', 'to', 'painting', 'May', 'mix', 'colors', 'or', 'oils', 'to', 'obtain', 'desired', 'color', 'or', 'consistency']	['Facilities', 'Painter', 'Foreman', 'Highway', 'Painter', 'House', 'Painter', 'Industrial', 'Painter', 'Journeyman', 'Painter', 'Maintenance', 'Painter', 'Painter', 'Painter', 'Foreman', 'Senior', 'Painter']
